"Name"," Salary and Other Compensation ", Travel
"AREND,  ELENORE C G","220,582.00","9,683.00"
"BASKERVILLE,  SHANNON L","298,971.00","11,003.00"
"BOND,  ALLISON HAYWARD","304,341.00","7,257.00"
"BROUWER,  SHAUNA JANICE M","285,625.00","10,790.00"
"BROWN,  STEPHEN R","330,673.00","4,929.00"
"BROWNSEY,  SILAS O","255,263.00","24,102.00"
"CARMICHAEL, BARBARA","263,675.00",
"CAUL,  DOUGLAS D","284,908.00","18,324.00"
"COLLINS, TERI M","243,524.00",
"COOKE, ANGELA GRACE LOUISE","122,976.00",
"DAVISON,  JOHN C","245,010.00","17,757.00"
"DELLA MATTIA, MARIE","85,477.00",
"DOBMEIER, TERESA","213,883.00",
"DUBE, JONATHAN","213,268.00",
"ETHIER,  TOM","145,936.00",440
"GALBRAITH,  DAVID L","287,870.00","6,380.00"
"GODFREY, DEBBIE","234,006.00",
"HALLS,  LORI D","309,335.00","22,905.00"
"HARVEY, JAMES","28,935.00",
"HUGHES,  TREVOR","295,467.00","26,378.00"
"JARDINE,  KEVIN D","288,173.00","19,137.00"
"KOT,  JILL","56,216.00",
"KRISHNA,  KATHRYN AURA MATHENY","311,555.00","10,771.00"
"MACDONALD,  RONALD JOSEPH","241,908.00","7,127.00"
"MACKENZIE,  ISOBEL","235,116.00","35,274.00"
"MAIN,  GRANT M","196,249.00",
"MALOUGHNEY, MARY SUE","219,497.00",
"MANWARING,  RICHARD","283,519.00","39,611.00"
"MARANDA,  PIERRETTE","229,325.00","1,063.00"
"MASSEY,  CHRISTINE","255,263.00","7,958.00"
"MAY, CHERYL","227,626.00",
"MAYHEW,  NEILANE","267,191.00","14,957.00"
"MIHLAR,  FAZIL","311,878.00","35,825.00"
"O'DONOGHUE, EAMON","227,980.00",
"PLECAS,  BOBBI-LYNN","282,458.00","39,558.00"
"POKORNY,  PETER","255,263.00","21,816.00"
"RICHARDS,  TARA C","274,534.00","2,584.00"
"RICHTER,  KEVIN J","227,569.00","43,490.00"
"RITCHIE,  CAROL J","220,060.00","9,724.00"
"SADLER,  BOBBI M","262,204.00","2,800.00"
"SALTER, SHANNON","322,594.00","36,475.00"
"SANFORD,  DONNA","218,070.00","2,057.00"
"SCOTT,  DOUGLAS S","285,625.00","6,926.00"
"SIEBEN,  MARK K","287,810.00","3,983.00"
"WANAMAKER,  LORI M","409,582.00","4,415.00"
"WOOD,  HEATHER","307,850.00","20,753.00"
"WOOD, JESSICA DAWN","227,626.00",
"YUMA MORISHO,  OKENGE","282,563.00","9,821.00"
"ZACHARUK,  CHRISTINA A B","287,739.00","22,493.00"
"ZADRAVEC, DONALD ANTHONY","260,678.00",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
